ID,FoodGroup,Descrip,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitB6_mg,VitB12_mcg,VitC_mg,VitE_mg,Folate_mcg,Niacin_mg,Riboflavin_mg,Thiamin_mg,Calcium_mg,Copper_mcg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Selenium_mcg,Zinc_mg,VitA_USRDA,VitB6_USRDA,VitB12_USRDA,VitC_USRDA,VitE_USRDA,Folate_USRDA,Niacin_USRDA,Riboflavin_USRDA,Thiamin_USRDA,Calcium_USRDA,Copper_USRDA,Magnesium_USRDA,Phosphorus_USRDA,Selenium_USRDA,Zinc_USRDA
11904,Vegetables and Vegetable Products,"Corn, sweet, white, canned, whole kernel, no salt added, solids and liquids",64,1.95,0.5,15.41,0,0.7,0,0.037,0,5.5,0,38,0.939,0.061,0.026,4,0.056,0.41,16,0.033,51,0.6,0.36,0,0.021764706,0,0.061111111,0,0.095,0.0586875,0.046923077,0.021666667,0.003333333,6.22E-05,0.038095238,0.072857143,0.010909091,0.032727273
11222,Vegetables and Vegetable Products,"Drumstick leaves, raw",64,9.4,1.4,8.28,0,2,378,1.2,0,51.7,0,40,2.22,0.66,0.257,185,0.105,4,147,1.063,112,0.9,0.6,0.42,0.705882353,0,0.574444444,0,0.1,0.13875,0.507692308,0.214166667,0.154166667,0.000116667,0.35,0.16,0.016363636,0.054545455
36058,Restaurant Foods,"OLIVE GARDEN, chicken parmigiana without pasta",211,15.33,11.23,12.28,2.68,0.9,37,0.183,0.34,0,1.59,0,5.58,0.163,0.057,95,0.062,0.58,25,0.129,236,24,0.86,0.041111111,0.107647059,0.141666667,0,0.106,0,0.34875,0.125384615,0.0475,0.079166667,6.89E-05,0.05952381,0.337142857,0.436363636,0.078181818
36056,Restaurant Foods,"Restaurant, Mexican, cheese tamales",216,8.99,11.99,17.97,1.23,2.2,124,0.136,0.29,0,1.74,0,1.928,0.132,0.068,111,0.06,0.87,30,0.156,161,12.1,1.31,0.137777778,0.08,0.120833333,0,0.116,0,0.1205,0.101538462,0.056666667,0.0925,6.67E-05,0.071428571,0.23,0.22,0.119090909
36061,Restaurant Foods,"Restaurant, Mexican, soft taco with ground beef, cheese and lettuce",219,12.56,10.81,17.92,2.39,1.5,49,0.136,1.22,0,0.82,0,2.63,0.248,0.162,116,0.099,1.85,27,0.269,172,19.3,2.15,0.054444444,0.08,0.508333333,0,0.054666667,0,0.164375,0.190769231,0.135,0.096666667,0.00011,0.064285714,0.245714286,0.350909091,0.195454545
21253,Fast Foods,"BURGER KING, WHOPPER, with cheese",250,11.19,15.33,16.7,4.11,1,0,0.073,0,0.2,0.08,72,2.56,0.2,0.213,82,0.053,2,18,0.18,113,18.4,1.6,0,0.042941176,0,0.002222222,0.005333333,0.18,0.16,0.153846154,0.1775,0.068333333,5.89E-05,0.042857143,0.161428571,0.334545455,0.145454545
21405,Fast Foods,"McDONALD'S, Premium Crispy Chicken Club Sandwich",250,15.38,11.76,22.61,4.99,1.2,0,0,0,3.8,0,0,4.748,0.169,0.176,92,0,1.32,0,0,0,0,0,0,0,0,0.042222222,0,0,0.29675,0.13,0.146666667,0.076666667,0,0,0,0,0
21093,Fast Foods,"Fast foods, cheeseburger; double, regular patty, with condiments and vegetables",251,12.8,12.7,21.2,0,0,0,0.11,1.16,1,0,53,4.85,0.17,0.21,103,0.09,2.06,18,0.18,146,14.2,2.1,0,0.064705882,0.483333333,0.011111111,0,0.1325,0.303125,0.130769231,0.175,0.085833333,0.0001,0.042857143,0.208571429,0.258181818,0.190909091
17101,"Lamb, Veal, and Game Products","Veal, leg (top round), separable lean only, cooked, pan-fried, breaded",216,28.41,6.27,9.84,0.57,0.2,10,0.42,1.28,0,0.53,34,10.8,0.36,0.16,39,0.074,1.64,32,0.137,258,13.5,2.87,0.011111111,0.247058824,0.533333333,0,0.035333333,0.085,0.675,0.276923077,0.133333333,0.0325,8.22E-05,0.076190476,0.368571429,0.245454545,0.260909091
17027,"Lamb, Veal, and Game Products","Lamb, domestic, loin, separable lean only, trimmed to 1/4"" fat, choice, cooked, broiled",216,29.99,9.73,0,0,0,0,0.16,2.52,0,0.16,24,6.85,0.28,0.11,19,0.145,2,28,0.028,226,32.8,4.13,0,0.094117647,1.05,0,0.010666667,0.06,0.428125,0.215384615,0.091666667,0.015833333,0.000161111,0.066666667,0.322857143,0.596363636,0.375454545
17106,"Lamb, Veal, and Game Products","Veal, loin, separable lean and fat, cooked, roasted",217,24.8,12.32,0,0,0,0,0.34,1.24,0,0.44,15,8.86,0.28,0.05,19,0.11,0.87,25,0.029,212,11,3.03,0,0.2,0.516666667,0,0.029333333,0.0375,0.55375,0.215384615,0.041666667,0.015833333,0.000122222,0.05952381,0.302857143,0.2,0.275454545
19061,Snacks,"Snacks, trail mix, tropical",442,6.3,17.1,65.6,0,0,2,0.327,0,7.6,0,42,1.482,0.115,0.45,57,0.528,2.64,96,0.966,186,0,1.17,0.002222222,0.192352941,0,0.084444444,0,0.105,0.092625,0.088461538,0.375,0.0475,0.000586667,0.228571429,0.265714286,0,0.106363636
19020,Snacks,"Snacks, granola bars, soft, uncoated, plain",443,7.4,17.2,67.3,0,4.6,0,0.1,0.39,0,0,24,0.515,0.165,0.295,105,0.27,2.56,74,1.53,230,16.2,1.5,0,0.058823529,0.1625,0,0,0.06,0.0321875,0.126923077,0.245833333,0.0875,0.0003,0.176190476,0.328571429,0.294545455,0.136363636
19424,Snacks,"Snacks, tortilla chips, nacho-flavor, reduced fat",445,8.7,15.2,71.6,0,4.8,24,0.231,0,0.2,0,26,0.415,0.274,0.222,159,0.143,1.63,97,0.436,318,0,0,0.026666667,0.135882353,0,0.002222222,0,0.065,0.0259375,0.210769231,0.185,0.1325,0.000158889,0.230952381,0.454285714,0,0
16396,Legumes and Legume Products,"Peanuts, virginia, oil-roasted, without salt",578,25.87,48.62,19.86,0,8.9,0,0.254,0,0,0,125,14.7,0.112,0.276,86,1.273,1.67,188,2.008,506,7.5,6.62,0,0.149411765,0,0,0,0.3125,0.91875,0.086153846,0.23,0.071666667,0.001414444,0.447619048,0.722857143,0.136363636,0.601818182
7278,Sausages and Luncheon Meats,HORMEL Pillow Pak Sliced Turkey Pepperoni,243,30.99,11.52,3.78,0,0,15,0,0,0,0,4,0,0,0,26,0.2,2.7,41,0,0,0,4.3,0.016666667,0,0,0,0,0.01,0,0,0,0.021666667,0.000222222,0.097619048,0,0,0.390909091
7033,Sausages and Luncheon Meats,Ham and cheese spread,245,16.18,18.53,2.28,0,0,91,0.13,0.73,0,0,3,2.153,0.22,0.318,217,0.09,0.76,18,0.036,495,33.6,2.25,0.101111111,0.076470588,0.304166667,0,0,0.0075,0.1345625,0.169230769,0.265,0.180833333,0.0001,0.042857143,0.707142857,0.610909091,0.204545455
5157,Poultry Products,"Quail, meat and skin, raw",192,19.63,12.05,0,0,0,73,0.6,0.43,6.1,0,8,7.538,0.26,0.244,13,0.507,3.97,23,0.019,275,16.6,2.42,0.08111111,0.35294118,0.17916667,0.06777778,0,0.02,0.471125,0.2,0.20333333,0.01083333,0.00056333,0.05476191,0.39285714,0.30181818,0.22
